iter	Logloss
0	0.6847892052
1	0.6773363991
2	0.6704684953
3	0.6636421594
4	0.657960555
5	0.6524132598
6	0.6475301088
7	0.6430422311
8	0.639058204
9	0.6356088723
10	0.6319710211
11	0.6287423276
12	0.6257546587
13	0.6234272286
14	0.6209627433
15	0.6186181532
16	0.6162914362
17	0.6141883616
18	0.6125867076
19	0.6114580014
20	0.6098887192
21	0.6082722221
22	0.6062775415
23	0.6045782169
24	0.6026656892
25	0.6011414268
26	0.5997045984
27	0.5982815896
28	0.5967011024
29	0.5953240509
30	0.5940481338
31	0.5926814505
32	0.5911072763
33	0.5899651716
34	0.5891100129
35	0.5882878627
36	0.5872296764
37	0.5863608625
38	0.585467591
39	0.5846096083
40	0.583817993
41	0.5829044281
42	0.5821102095
43	0.5812665217
44	0.5801560641
45	0.5792436438
46	0.5781425968
47	0.5774014467
48	0.5767988095
49	0.5757482611
50	0.5748346571
51	0.5739700261
52	0.5731649583
53	0.572287574
54	0.5716358192
55	0.5709016597
56	0.5702234503
57	0.5696774234
58	0.5688587444
59	0.5681329801
60	0.5676752124
61	0.5672105177
62	0.5667789752
63	0.5662165449
64	0.5656169199
65	0.5649075701
66	0.5640051748
67	0.5635101451
68	0.5626013552
69	0.5615100555
70	0.5607286958
71	0.5602034678
72	0.5597254811
73	0.5590241883
74	0.5583655161
75	0.5578129313
76	0.5572970907
77	0.5568367569
78	0.5563014324
79	0.5559164129
80	0.555219355
81	0.5544455222
82	0.5539635575
83	0.5536011677
84	0.5531183448
85	0.5524259263
86	0.5516965737
87	0.5510649523
88	0.5503752821
89	0.54999105
90	0.5496521103
91	0.5491079866
92	0.5486926375
93	0.5481819303
94	0.5477027589
95	0.5469604983
96	0.5463902526
97	0.5459195035
98	0.5450705793
99	0.5445426845
100	0.5440972002
101	0.543619033
102	0.5425078454
103	0.542283205
104	0.5419610065
105	0.5410561359
106	0.5406915121
107	0.5401250288
108	0.5393300572
109	0.5390910814
110	0.538547869
111	0.5382953712
112	0.5377822659
113	0.5374966145
114	0.5369707407
115	0.5363450396
116	0.5361175005
117	0.5357396928
118	0.5354347333
119	0.5349938969
120	0.5346502671
121	0.5342108818
122	0.5339229635
123	0.5329840038
124	0.5325947652
125	0.5322236566
126	0.5318953303
127	0.5313362432
128	0.5309239201
129	0.5305104908
130	0.5301596558
131	0.5298357591
132	0.5293044142
133	0.5289265811
134	0.5287375317
135	0.5285462063
136	0.5282696179
137	0.5277625966
138	0.5273173882
139	0.5267516441
140	0.5261938447
141	0.525940985
142	0.5255508893
143	0.5252826694
144	0.5251507922
145	0.5247899027
146	0.524188087
147	0.5236003721
