iter	Passed	Remaining
0	50	60396
1	110	65982
2	167	66990
3	232	69400
4	298	71277
5	361	71975
6	433	73913
7	499	74423
8	565	74769
9	633	75429
10	709	76661
11	768	76096
12	828	75627
13	890	75411
14	950	75112
15	1010	74745
16	1071	74593
17	1128	74137
18	1184	73633
19	1218	71864
20	1272	71420
21	1326	71004
22	1379	70606
23	1439	70545
24	1493	70199
25	1550	70000
26	1628	70734
27	1690	70744
28	1754	70862
29	1814	70746
30	1873	70656
31	1930	70474
32	1991	70433
33	2051	70343
34	2106	70112
35	2163	69939
36	2224	69928
37	2279	69718
38	2354	70102
39	2419	70178
40	2481	70155
41	2540	70057
42	2607	70146
43	2664	70013
44	2723	69911
45	2786	69916
46	2848	69875
47	2909	69833
48	2969	69750
49	3025	69594
50	3083	69469
51	3142	69381
52	3204	69354
53	3264	69280
54	3320	69127
55	3383	69122
56	3438	68944
57	3507	69060
58	3566	68967
59	3629	68952
60	3690	68909
61	3750	68845
62	3807	68720
63	3867	68654
64	3931	68644
65	3994	68626
66	4049	68472
67	4115	68517
68	4183	68580
69	4245	68537
70	4308	68513
71	4366	68401
72	4425	68326
73	4485	68259
74	4542	68130
75	4600	68033
76	4662	67996
77	4719	67887
78	4775	67770
79	4835	67702
80	4901	67715
81	4962	67665
82	5026	67647
83	5083	67532
84	5149	67543
85	5207	67461
86	5265	67357
87	5326	67304
88	5385	67223
89	5446	67179
90	5506	67104
91	5565	67023
92	5622	66929
93	5681	66842
94	5740	66765
95	5799	66690
96	5858	66617
97	5919	66560
98	5980	66511
99	6040	66450
100	6106	66443
101	6165	66364
102	6226	66318
103	6282	66210
104	6339	66112
105	6398	66035
106	6461	66001
107	6520	65933
108	6580	65865
109	6646	65857
110	6710	65838
111	6772	65791
112	6830	65704
113	6887	65608
114	6962	65691
115	7026	65659
116	7085	65585
117	7150	65561
118	7210	65500
119	7269	65421
120	7332	65382
121	7398	65376
122	7461	65335
123	7523	65282
124	7591	65282
125	7656	65262
126	7726	65283
127	7796	65293
128	7858	65244
129	7926	65241
130	7981	65130
131	8048	65120
132	8106	65031
133	8167	64973
134	8227	64906
135	8289	64850
136	8351	64798
137	8417	64779
138	8474	64687
139	8535	64623
140	8600	64595
141	8662	64544
142	8721	64466
143	8787	64441
144	8843	64344
145	8900	64252
146	8958	64175
147	9015	64083
